OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106361110,BEAR VALLEY COMMUNITY HOSPITAL,240000111,Parent Facility,41870 GARSTIN DR,BIG BEAR LAKE,92315,36,San Bernardino,Emergency - Standby,30,Open,1974-07-05,Hospital,General Acute Care Hospital,34.24728000,-116.88988000
106361144,CHINO VALLEY MEDICAL CENTER,240000125,Parent Facility,5451 WALNUT AVE,CHINO,91710,36,San Bernardino,Emergency - Basic,112,Open,1972-10-01,Hospital,General Acute Care Hospital,34.02626000,-117.68700000
106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,240000141,Parent Facility,5000 SAN BERNARDINO ST,MONTCLAIR,91763,36,San Bernardino,Emergency - Basic,106,Open,1972-08-07,Hospital,General Acute Care Hospital,34.07774000,-117.69603000
106361223,KAISER FOUNDATION HOSPITAL - FONTANA,240000159,Parent Facility,9961 SIERRA AVE,FONTANA,92335,36,San Bernardino,Emergency - Basic,450,Open,1954-09-01,Hospital,General Acute Care Hospital,34.07250000,-117.43549000
106361245,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,240000169,Consolidated Facility,25333 BARTON RD,LOMA LINDA,92354,36,San Bernardino,None,134,Open,1972-09-19,Hospital,General Acute Care Hospital,34.04820000,-117.25160000
106361246,LOMA LINDA UNIVERSITY MEDICAL CENTER,240000169,Parent Facility,11234 ANDERSON ST,LOMA LINDA,92354,36,San Bernardino,Emergency - Basic,371,Open,1946-01-01,Hospital,General Acute Care Hospital,34.05164000,-117.26146000
106361266,MOUNTAINS COMMUNITY HOSPITAL,240000176,Parent Facility,29101 HOSPITAL RD,LAKE ARROWHEAD,92352,36,San Bernardino,Emergency - Standby,37,Open,1951-10-10,Hospital,General Acute Care Hospital,34.26583000,-117.16716000
106361274,KINDRED HOSPITAL - ONTARIO,240000561,Parent Facility,550 N MONTEREY AVE,ONTARIO,91764,36,San Bernardino,None,91,Open,1951-05-25,Hospital,General Acute Care Hospital,34.06881000,-117.64364000
106361308,REDLANDS COMMUNITY HOSPITAL,240000191,Parent Facility,350 TERRACINA BLVD,REDLANDS,92373,36,San Bernardino,Emergency - Basic,229,Open,1946-01-01,Hospital,General Acute Care Hospital,34.03699000,-117.20440000
106361318,SAN ANTONIO REGIONAL HOSPITAL,240000196,Parent Facility,999 SAN BERNARDINO RD,UPLAND,91786,36,San Bernardino,Emergency - Basic,363,Open,1946-01-01,Hospital,General Acute Care Hospital,34.10056000,-117.63828000
106361323,COMMUNITY HOSPITAL OF SAN BERNARDINO,240000198,Parent Facility,1805 MEDICAL CENTER DR,SAN BERNARDINO,92411,36,San Bernardino,Emergency - Basic,347,Open,1958-04-21,Hospital,General Acute Care Hospital,34.13138000,-117.32245000
106361339,ST. BERNARDINE MEDICAL CENTER,240000206,Parent Facility,2101 N WATERMAN AVE,SAN BERNARDINO,92404,36,San Bernardino,Emergency - Basic,342,Open,1946-01-01,Hospital,General Acute Care Hospital,34.13410000,-117.27865000
